"day","time","ord","car","what","duration","place"
"Tue","13:30-14:00 ","FSG06","59 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 2 "
"Tue","13:30-14:00 ","FSG07","24 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 3 "
"Tue","13:30-14:00 ","FSG08","90 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 4 "
"Tue","13:45-15:30 ","FSG21","13 ","Electrical Inspection ","01:45","Inspection Bay 2 "
"Tue","13:45-15:30 ","FSG22","66 ","Electrical Inspection ","01:45","Inspection Bay 3 "
"Tue","13:45-15:30 ","FSG23","50 ","Electrical Inspection ","01:45","Inspection Bay 4 "
"Tue","13:45-15:30 ","FSG24","78 ","Electrical Inspection ","01:45","Inspection Bay 5 "
"Tue","13:45-15:30 ","FSG25","42 ","Electrical Inspection ","01:45","Inspection Bay 13 "
"Tue","13:45-15:30 ","FSG26","95 ","Electrical Inspection ","01:45","Inspection Bay 14 "
"Tue","13:45-15:30 ","FSG27","172 ","Electrical Inspection ","01:45","Inspection Bay 15 "
"Tue","13:45-15:30 ","FSG28","297 ","Electrical Inspection ","01:45","Inspection Bay 16 "
"Tue","13:45-15:30 ","FSG29","96 ","Electrical Inspection ","01:45","Inspection Bay 24 "
"Tue","13:45-15:30 ","FSG30","51 ","Electrical Inspection ","01:45","Inspection Bay 25 "
"Tue","13:45-15:30 ","FSG31","85 ","Electrical Inspection ","01:45","Inspection Bay 26 "
"Tue","13:45-15:30 ","FSG32","62 ","Electrical Inspection ","01:45","Inspection Bay 27 "
"Tue","13:45-15:30 ","FSG33","43 ","Electrical Inspection ","01:45","Inspection Bay 35 "
"Tue","13:45-15:30 ","FSG34","35 ","Electrical Inspection ","01:45","Inspection Bay 36 "
"Tue","13:45-15:30 ","FSG35","11 ","Electrical Inspection ","01:45","Inspection Bay 37 "
"Tue","13:45-15:30 ","FSG36","200 ","Electrical Inspection ","01:45","Inspection Bay 38 "
"Tue","13:45-15:30 ","FSG37","67 ","Electrical Inspection ","01:45","Inspection Bay 39 "
"Tue","14:15-14:45 ","FSG09","63 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 1 "
"Tue","14:15-14:45 ","FSG10","44 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 2 "
"Tue","14:15-14:45 ","FSG19","114 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 3 "
"Tue","14:15-14:45 ","FSG20","124 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 4 "
"Tue","14:15-15:30 ","FSG64","28 ","Mechanical Inspection ","01:15","Inspection Bay 1 "
"Tue","14:15-15:30 ","FSG65","26 ","Mechanical Inspection ","01:15","Inspection Bay 11 "
"Tue","14:15-15:30 ","FSG66","72 ","Mechanical Inspection ","01:15","Inspection Bay 12 "
"Tue","14:15-15:30 ","FSG67","77 ","Mechanical Inspection ","01:15","Inspection Bay 22 "
"Tue","14:15-15:30 ","FSG68","94 ","Mechanical Inspection ","01:15","Inspection Bay 23 "
"Tue","14:15-15:30 ","FSG69","167 ","Mechanical Inspection ","01:15","Inspection Bay 33 "
"Tue","14:15-15:30 ","FSG70","65 ","Mechanical Inspection ","01:15","Inspection Bay 34 "
"Tue","15:00-15:30 ","FSG55","74 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 1 "
"Tue","15:00-15:30 ","FSG56","171 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 2 "
"Tue","15:00-15:30 ","FSG57","29 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 3 "
"Tue","15:00-15:30 ","FSG58","34 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 4 "
"Tue","15:45-17:00 ","FSG71","115 ","Mechanical Inspection ","01:15","Inspection Bay 1 "
"Tue","15:45-17:00 ","FSG72","130 ","Mechanical Inspection ","01:15","Inspection Bay 11 "
"Tue","15:45-17:00 ","FSG73","79 ","Mechanical Inspection ","01:15","Inspection Bay 12 "
"Tue","15:45-17:00 ","FSG74","107 ","Mechanical Inspection ","01:15","Inspection Bay 22 "
"Tue","15:45-17:00 ","FSG75","141 ","Mechanical Inspection ","01:15","Inspection Bay 23 "
"Tue","15:45-17:00 ","FSG76","268 ","Mechanical Inspection ","01:15","Inspection Bay 33 "
"Tue","15:45-17:00 ","FSG77","123 ","Mechanical Inspection ","01:15","Inspection Bay 34 "
"Tue","15:45-17:30 ","FSG38","111 ","Electrical Inspection ","01:45","Inspection Bay 2 "
"Tue","15:45-17:30 ","FSG39","84 ","Electrical Inspection ","01:45","Inspection Bay 3 "
"Tue","15:45-17:30 ","FSG40","23 ","Electrical Inspection ","01:45","Inspection Bay 4 "
"Tue","15:45-17:30 ","FSG41","25 ","Electrical Inspection ","01:45","Inspection Bay 5 "
"Tue","15:45-17:30 ","FSG42","140 ","Electrical Inspection ","01:45","Inspection Bay 13 "
"Tue","15:45-17:30 ","FSG43","100 ","Electrical Inspection ","01:45","Inspection Bay 14 "
"Tue","15:45-17:30 ","FSG44","40 ","Electrical Inspection ","01:45","Inspection Bay 15 "
"Tue","15:45-17:30 ","FSG45","76 ","Electrical Inspection ","01:45","Inspection Bay 16 "
"Tue","15:45-17:30 ","FSG46","173 ","Electrical Inspection ","01:45","Inspection Bay 24 "
"Tue","15:45-17:30 ","FSG47","224 ","Electrical Inspection ","01:45","Inspection Bay 25 "
"Tue","15:45-17:30 ","FSG48","122 ","Electrical Inspection ","01:45","Inspection Bay 26 "
"Tue","15:45-17:30 ","FSG49","36 ","Electrical Inspection ","01:45","Inspection Bay 27 "
"Tue","15:45-17:30 ","FSG50","20 ","Electrical Inspection ","01:45","Inspection Bay 35 "
"Tue","15:45-17:30 ","FSG51","133 ","Electrical Inspection ","01:45","Inspection Bay 36 "
"Tue","15:45-17:30 ","FSG52","52 ","Electrical Inspection ","01:45","Inspection Bay 37 "
"Tue","15:45-17:30 ","FSG53","69 ","Electrical Inspection ","01:45","Inspection Bay 38 "
"Tue","15:45-17:30 ","FSG54","399 ","Electrical Inspection ","01:45","Inspection Bay 39 "
"Tue","16:00-16:30 ","FSG59","47 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 1 "
"Tue","16:00-16:30 ","FSG60","48 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 2 "
"Tue","16:00-16:30 ","FSG61","98 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 3 "
